tcp_port,totalDifficulty,forkID,ip,is_dyndial,version,is_inbound,caps,head,last_time,udp_port,networkID,fullname,id,is_eth_handshake_complete,is_eth_handshake
30303,58750003716598352816469,{[220 233 108 45] 0},78.58.232.34,True,68,False,[eth/66 eth/67 eth/68],0x244be84b4c2390be51abcf0ee7e3a7c71823b1c797c3941f345cc17b6755b75a,2024-01-24T09:20:41+08:00,30303,1,Nethermind/v1.20.2+62f034ed/linux-x64/dotnet7.0.10,aa22148def8d91b13a695263a50215734e8cc1fa35df3aadf45147db879617b0,True,True
30314,58750003716598352816469,{[220 233 108 45] 0},168.119.70.250,True,67,False,[eth/66 eth/67],0x0976c198ac1efb3e800c770a8355bcd61339d0aea3b1b22b7ec29b0e8c2070f3,2024-01-24T18:13:27+08:00,30314,1,erigon/v2.56.1-d079008d/linux-amd64/go1.20.12,aa20ad015256e803c4f942a6cda6a78fed813c8ebeba4e1b42a8e8d6f5e4ccea,True,True
60778,58750003716598352816469,{[220 233 108 45] 0},50.252.37.65,False,68,True,[eth/66 eth/67 eth/68 nodedata/1],0x50b12be13e0e70ace792653ca02c69f7e26bdb924129120dbea8bd046d7a46b7,2024-01-24T18:11:26+08:00,60778,1,Nethermind/v1.25.1+e37c10db/linux-x64/dotnet8.0.1,ff34e1bde3a7faebc98aaa2e5981d937d182f3db02095872b91997eae641ab12,True,True
57110,17179869184,{[252 100 236 4] 1150000},23.88.32.68,False,68,True,[eth/66 eth/67 eth/68],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T17:57:28+08:00,57110,1,Geth/v1.10.21-stable-67109427/linux-amd64/go1.18.4,8621c5de14dbce640fbc47cbfb2eb0478ed9f4a4c6edebf16ce401fee04ee5ab,True,True
50888,58750003716598352816469,{[240 175 208 227] 1681338455},3.209.230.115,False,68,True,[eth/66 eth/67 eth/68],0xb46719edcc7947cb6640a98412390d7ea7e954f380e82b689838e258306a0e1b,2024-01-24T14:17:28+08:00,50888,1,Geth/v1.12.0-stable-e501b3b0/linux-amd64/go1.20.3,5429696f1b62d61ead48267b13ac500bb524caaf66057a1b9000f3e69a232498,True,True
43358,58750003716598352816469,{[220 233 108 45] 0},99.164.54.163,False,68,True,[eth/66 eth/67 eth/68 nodedata/1 snap/1],0x0629cae25a3417020ee0c4802003c4dc79ceade731edc3b776b069eb373cbb94,2024-01-24T09:32:16+08:00,43358,1,Nethermind/v1.25.3+e64bee70/linux-x64/dotnet8.0.1,f8f52937eab405fc6d31a65d5e6bec13aa5b3d6dd70b9196a14f7905cb3dae90,True,True
35170,58750003716598352816469,{[220 233 108 45] 0},119.123.102.77,False,68,True,[eth/68],0x7950f2d244dfe5e6c62f16de8078f2d94221aa3df9b98443452a3d9e4827127e,2024-01-24T10:46:16+08:00,35170,1,erigon/v2.48.1-stable-674b77f0/linux-amd64/go1.19.12,2d774f8599db47a0c9ad846c011d460a4116dc1533406629c23b154aa634dfb7,True,True
35342,58750003716598352816469,{[220 233 108 45] 0},204.210.134.70,False,68,True,[eth/66 eth/67 eth/68 snap/1],0xa34b5f2448b31433c97440f74391c91289f4b72a1ce29c037d981e28e1ebe1f0,2024-01-24T09:24:26+08:00,35342,1,Geth/v1.12.0-stable-e501b3b0/linux-amd64/go1.20.3,65417bdd1a1b9cbc454b7008823c4d586ade773d2363a220158c1978279546a4,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},136.243.93.169,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x329fad49b5d417362a10d0f3431bf7e191404b9b481faaa6e20ba02aacc13409,2024-01-24T17:18:50+08:00,30303,1,Geth/v1.11.5-stable-a38f4108/linux-amd64/go1.20.2,2dd92ba1257aa096249948fdb18e31e9c28e3e7ff1b3acda6e5a362a2d449fb6,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},216.158.71.2,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xf49233dd83b5265bceaf2c09b3145561ca7c46ecf4b816568926fe5a2b944571,2024-01-24T18:13:38+08:00,30303,1,Geth/v1.12.1-unstable-1816cdc9/linux-amd64/go1.20.4,291c423a0905fb280b8efda832b5645c23e68cd4aacbd8d8211215183ff8c41f,True,True
8084,10828861686796666943384,{[102 141 176 175] 9069000},162.219.87.217,False,68,True,[eth/67 eth/68 snap/1],0xadd1b749392b22e80e800eb372a4607e836dc5dbd2d198993edcef7d0126fc38,2024-01-24T17:56:07+08:00,8084,1,Geth/v1.13.5-stable-916d6a44/linux-amd64/go1.21.4,dc3cdaad1ff107e383d7b38b96607fa1d79bef1b314280fc4e838997e0f1e223,True,True
30305,58750003716598352816469,{[220 233 108 45] 0},117.248.109.74,True,68,False,[eth/67 eth/68 snap/1],0x83eb1969d46dc7c1350aa1a33e11d15be2e5b40b6ba93b6bc679b92e34325b99,2024-01-24T13:13:28+08:00,30305,1,Geth/v1.13.8-stable-b20b4a71/linux-amd64/go1.21.5,c05a4ff77c6a336cc2d2ee9bffdded954d7c5e59740304910196821f0e0c4b49,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},184.146.184.201,True,68,False,[eth/63 eth/64 eth/65 eth/66 eth/67 eth/68 snap/1],0xc7b97e71d2f1d4fcd981241ce979bc763a71c946b45f99fa09bb74e95bc1eea6,2024-01-24T09:25:18+08:00,30303,1,besu/v24.1.0/linux-x86_64/openjdk-java-17,383d0f31259a66c9657fb779fe8db1c29e811e415f8cbb1281ee0ab75cd78500,True,True
40303,58750003716598352816469,{[220 233 108 45] 0},172.249.174.248,True,68,False,[eth/66 eth/67 eth/68 nodedata/1 snap/1],0x2243ac0286917bbc1d8f6eaee6a5243bf3178aac6a274e5a49f4bed75d787559,2024-01-24T17:55:00+08:00,40303,1,Nethermind/v1.25.3+e64bee70/linux-x64/dotnet8.0.1,3d43f88f16c3108fafaa811fb52759599743edadeea7256557263fad503dcc0d,True,True
56426,58750003716598352816469,{[240 175 208 227] 0},141.164.118.105,False,67,True,[eth/66 eth/67 snap/1],0x6fc4bb4e5d1f1026349fdbf9edb5535152d7d338643828e232eaceffce9cc872,2024-01-24T10:27:06+08:00,56426,1,Geth/v1.10.26-stable-e5eb32ac/linux-arm64/go1.18.5,b9254a3eeb88818dba67570be9521ba6336ccb20186ddca692f9261a4754145d,True,True
51180,58750003716598352816469,{[220 233 108 45] 0},85.203.44.4,False,68,True,[eth/66 eth/67 eth/68 nodedata/1],0x4e69111cd09c5ddb07bcb88c8a29826a1b01f93cb9fbcecfa9b8dab2def67611,2024-01-24T09:27:13+08:00,51180,1,Nethermind/v1.25.3+e64bee70/linux-x64/dotnet8.0.1,9f9c6e57ac34b461e4da7a30cdd1a8a2ee3eedce525cd2a2fb0268677a347a02,True,True
38652,58750003716598352816469,{[220 233 108 45] 0},209.126.11.152,False,68,True,[eth/66 eth/67 eth/68 snap/1],0x98189707f844814d13123c14d9055afc1a710a5dc072a8afa3cc26ef93e5ceed,2024-01-24T09:26:28+08:00,38652,1,Geth/v1.11.5-stable-a38f4108/linux-amd64/go1.20.2,063a07042a115de9c4645d294726b7165189ebcefa5079fe587a8f7e388302d8,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},3.252.216.248,True,68,False,[eth/67 eth/68 snap/1],0xdc58904ccdfeda60191f19ed3e8c24b3ee73e1429e5825ad508e77735b13ea83,2024-01-24T17:21:11+08:00,30303,1,Geth/v1.13.5-stable/linux-amd64/go1.21.4,28a919c9a36c882c5dbc3f7c611f682309f836d547f8ea65dfb6438a08e5f7a7,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},162.19.171.165,True,68,False,[eth/67 eth/68 snap/1],0xb440de10d12d9c0d6b3258e9b42cf9020cddcd37433e20eea2eb53b13d2a9bc8,2024-01-24T17:43:27+08:00,30303,1,Geth/v1.13.10-stable/linux-amd64/go1.20.2,c15938152dcf625cf27bdb4b2f6dbe807932e648c3b19067aeb46990ba85c7fa,True,True
